Owner,Certificate Issuer Organization,Certificate Issuer Organizational Unit,Common Name or Certificate Name,SHA-1 Fingerprint,Valid From [GMT],Valid To [GMT],Signing Key Parameters,Signature Algorithm,Trust Bits,EV Policy OID(s),Approval Bug,NSS Release When First Included,Firefox Release When First Included,URL to Test Website or Example Cert,Mozilla Applied Constraints,Company Website,Certificate Policy (CP),Certification Practice Statement (CPS),Standard Audit,BR Audit,EV Audit,Auditor,Standard Audit Type,Standard Audit Statement Dt,Comments
Comodo,COMODO CA Limited,,COMODO ECC Certification Authority,9F:74:4E:9F:2B:4D:BA:EC:0F:31:2C:50:B6:56:3B:8E:2D:93:C3:11,2008 Mar 06,2038 Jan 18,ECC,ECC,Code; Email; Websites,1.3.6.1.4.1.6449.1.2.1.5.1,https://bugzilla.mozilla.org/show_bug.cgi?id=421946,NSS 3.12.1,Firefox 3.0.2,https://comodoecccertificationauthority-ev.comodoca.com/,,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,https://cert.webtrust.org/SealFile?seal=1746&file=pdf,Ernst & Young,WebTrust,2014.09.10,
Comodo,COMODO CA Limited,,COMODO RSA Certification Authority,AF:E5:D2:44:A8:D1:19:42:30:FF:47:9F:E2:F8:97:BB:CD:7A:8C:B4,2010 Jan 19,2038 Jan 18,4096,SHA-384,Code; Email; Websites,1.3.6.1.4.1.6449.1.2.1.5.1,https://bugzilla.mozilla.org/show_bug.cgi?id=606947,NSS 3.17.3,Firefox 36,https://comodorsacertificationauthority-ev.comodoca.com,None,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,https://cert.webtrust.org/SealFile?seal=1746&file=pdf,Ernst & Young,WebTrust,2014.09.10,
Comodo,Comodo CA Limited,,Secure Certificate Services,4A:65:D5:F4:1D:EF:39:B8:B8:90:4A:4A:D3:64:81:33:CF:C7:A1:D1,2004 Jan 01,2028 Dec 31,2048,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=249710,,Firefox 1,https://securecertificateservices.comodoca.com/,,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,
Comodo,Comodo CA Limited,,Trusted Certificate Services,E1:9F:E3:0E:8B:84:60:9E:80:9B:17:0D:72:A8:C5:BA:6E:14:09:BD,2004 Jan 01,2028 Dec 31,2048,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=249710,,Firefox 1,https://trustedcertificateservices.comodoca.com/,,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,
ComSign,ComSign,,ComSign CA,E1:A4:5B:14:1A:21:DA:1A:79:F4:1A:42:A9:61:D6:69:CD:06:34:C1,2004 Mar 24,2029 Mar 19,2048,SHA-1,Email,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=420705,NSS 3.12.4,Firefox 3.5,Websites trust bit not set.,,http://www.comsign.co.il/eng/default.asp,http://www.comsign.co.il/main.asp?id=114,http://www.comsign.co.il/CPS-Docs/CPS_Ver3-1_English.pdf,https://bugzilla.mozilla.org/attachment.cgi?id=8505604,,,Sharony-Shefler,ETSI TS 101 456,2014.09.16,
ComSign,ComSign,,ComSign Secured CA,F9:CD:0E:2C:DA:76:24:C1:8F:BD:F0:F0:AB:B6:45:B8:F7:FE:D5:7A,2004 Mar 24,2029 Mar 16,2048,SHA-1,Code; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=420705,NSS 3.12.4,Firefox 3.5,https://comsign.co.il/main.asp?id=65,,http://www.comsign.co.il/eng/default.asp,http://www.comsign.co.il/main.asp?id=114,http://www.comsign.co.il/CPS-Docs/CPS_Ver3-1_English.pdf,https://bugzilla.mozilla.org/attachment.cgi?id=8505604,Turning off Websites trust bit in https://bugzilla.mozilla.org/show_bug.cgi?id=1160208,,Sharony-Shefler,ETSI TS 101 456,2014.09.16,
Verizon Business,"Cybertrust, Inc",,Cybertrust Global Root,5F:43:E5:B1:BF:F8:78:8C:AC:1C:C7:CA:4A:9A:C6:22:2B:CC:34:C6,2006 Dec 15,2021 Dec 15,2048,SHA-1,Websites,1.3.6.1.4.1.6334.1.100.1,https://bugzilla.mozilla.org/show_bug.cgi?id=430700,NSS 3.12.4,Firefox 3.5,https://ev.omniroot.com,,http://www.verizon.com/ssl,http://cybertrust.omniroot.com/repository,http://cybertrust.omniroot.com/repository,https://cert.webtrust.org/SealFile?seal=1798&file=pdf,NONE!,https://cert.webtrust.org/SealFile?seal=1799&file=pdf,Ernst & Young,WebTrust,2014.12.15,
D-TRUST,D-Trust GmbH,,D-TRUST Root Class 3 CA 2 2009,58:E8:AB:B0:36:15:33:FB:80:F7:9B:1B:6D:29:D3:FF:8D:5F:00:F0,2009 Nov 05,2029 Nov 05,2048,SHA-256,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=467891,NSS 3.15,Firefox 23,https://certdemo-ov-valid.ssl.d-trust.net/,,https://www.bundesdruckerei.de/de/167-d-trust-ssl-zertifikate,https://www.bundesdruckerei.de/de/2833-repository,https://www.bundesdruckerei.de/de/2833-repository,https://www.tuvit.de/en/certification-overview-1265-trusted-site-etsi-certificates-1334.htm,https://www.tuvit.de/data/content_data/tuevit_en/6752UE_s.pdf,,TUVIT,ETSI TS 102 042,2015.02.27,
D-TRUST,D-Trust GmbH,,D-TRUST Root Class 3 CA 2 EV 2009,96:C9:1B:0B:95:B4:10:98:42:FA:D0:D8:22:79:FE:60:FA:B9:16:83,2009 Nov 05,2029 Nov 05,2048,SHA-256,Websites,1.3.6.1.4.1.4788.2.202.1,https://bugzilla.mozilla.org/show_bug.cgi?id=467891,NSS 3.15,Firefox 23,https://certdemo-ev-valid.ssl.d-trust.net/,,https://www.bundesdruckerei.de/de/167-d-trust-ssl-zertifikate,https://www.bundesdruckerei.de/de/2833-repository,https://www.bundesdruckerei.de/de/2833-repository,https://www.tuvit.de/en/certification-overview-1265-trusted-site-etsi-certificates-1334.htm,https://www.tuvit.de/data/content_data/tuevit_en/6751UE_s.pdf,https://www.tuvit.de/data/content_data/tuevit_en/6751UE_s.pdf,TUVIT,ETSI TS 102 042,2015.02.27,
T-Systems International GmbH,Deutsche Telekom AG,T-TeleSec Trust Center,Deutsche Telekom Root CA 2,85:A4:08:C0:9C:19:3E:5D:51:58:7D:CD:D6:13:30:FD:8C:DE:37:BF,1999 Jul 09,2019 Jul 09,2048,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=378882,NSS 3.12.4,Firefox 3.5,https://root-ca2.test.telesec.de,,http://www.t-systems.com/,http://www.telesec.de/pki/roots.html,http://www.telesec.de/pki/roots.html,https://www.telesec.de/certification/webtrust,https://www.telesec.de/certification/webtrust,,Ernst & Young,WebTrust,2014.07.11,
"Deutscher Sparkassen Verlag GmbH (S-TRUST, DSV-Gruppe)",Deutscher Sparkassen Verlag GmbH,,S-TRUST Authentication and Encryption Root CA 2005:PN,BE:B5:A9:95:74:6B:9E:DF:73:8B:56:E6:DF:43:7A:77:BE:10:6B:81,2005 Jun 22,2030 Jun 21,2048,SHA-1,Email,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=370627,NSS 3.12.4,Firefox 3.5,Websites trust bit not set.,,https://www.s-trust.de/,http://www.s-trust.de/stn-cps/stn_cps.pdf,http://www.s-trust.de/stn-cps/stn_cps.pdf,https://www.tuvit.de/en/certification-overview-1265_trusted-site-etsi-certificates-1334_ENX_HTML.htm,,,TUVIT,ETSI TS 102 042,2014.04.11,
"Deutscher Sparkassen Verlag GmbH (S-TRUST, DSV-Gruppe)",Deutscher Sparkassen Verlag GmbH,S-TRUST Certification Services,S-TRUST Universal Root CA,1B:3D:11:14:EA:7A:0F:95:58:54:41:95:BF:6B:25:82:AB:40:CE:9A,2013 Oct 22,2038 Oct 21,2048,SHA-256,Email,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=1011182,NSS 3.18,Firefox 38,Example Cert: https://bugzilla.mozilla.org/attachment.cgi?id=8506014,None -- only email trust bit enabled.,https://www.s-trust.de/,https://www.s-trust.de/stn-cps,https://www.s-trust.de/stn-cps,https://www.tuvit.de/data/content_data/tuevit_en/6744UE_s.pdf,,,TUVIT,ETSI TS 102 042,2014.04.11,
Certigna,Dhimyotis,,Certigna,B1:2E:13:63:45:86:A4:6F:1A:B2:60:68:37:58:2D:C4:AC:FD:94:97,2007 Jun 29,2027 Jun 29,2048,SHA-1,Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=393166,NSS 3.12.4,Firefox 3.5,https://www.certigna.fr,,http://www.certigna.fr/,https://www.certigna.fr/Certigna/PC,https://bugzilla.mozilla.org/attachment.cgi?id=364146,http://www.lsti-certification.fr/images/liste_entreprise/Liste%20PSCe.pdf,http://www.lsti-certification.fr/images/liste_entreprise/Liste%20PSCe.pdf,,LSTI,ETSI TS 102 042,2015.01.15,2015 attestation: https://bug393166.bugzilla.mozilla.org/attachment.cgi?id=8579511
DigiCert,DigiCert Inc,www.digicert.com,DigiCert Assured ID Root CA,05:63:B8:63:0D:62:D7:5A:BB:C8:AB:1E:4B:DF:B5:A8:99:B2:4D:43,2006 Nov 10,2031 Nov 10,2048,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=364568,NSS 3.11.8,Firefox 2,https://assured-id-root.digicert.com/testroot/,,http://www.digicert.com/,http://www.digicert.com/ssl-cps-repository.htm,http://www.digicert.com/ssl-cps-repository.htm,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,,KPMG,WebTrust,2014.07.16,
DigiCert,DigiCert Inc,www.digicert.com,DigiCert Assured ID Root G2,A1:4B:48:D9:43:EE:0A:0E:40:90:4F:3C:E0:A4:C0:91:93:51:5D:3F,2013 Aug 01,2038 Jan 15,2048,SHA-256,Code; Email; Websites,2.16.840.1.114412.2.1,https://bugzilla.mozilla.org/show_bug.cgi?id=908827,NSS 3.16.3,Firefox 32,https://assured-id-root-g2.digicert.com/,,http://www.digicert.com/,http://www.digicert.com/ssl-cps-repository.htm,http://www.digicert.com/ssl-cps-repository.htm,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,KPMG,WebTrust,2014.07.16,
DigiCert,DigiCert Inc,www.digicert.com,DigiCert Assured ID Root G3,F5:17:A2:4F:9A:48:C6:C9:F8:A2:00:26:9F:DC:0F:48:2C:AB:30:89,2013 Aug 01,2038 Jan 15,ECC,ECC,Code; Email; Websites,2.16.840.1.114412.2.1,https://bugzilla.mozilla.org/show_bug.cgi?id=908827,NSS 3.16.3,Firefox 32,https://assured-id-root-g3.digicert.com/,,http://www.digicert.com/,http://www.digicert.com/ssl-cps-repository.htm,http://www.digicert.com/ssl-cps-repository.htm,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,KPMG,WebTrust,2014.07.16,
DigiCert,DigiCert Inc,www.digicert.com,DigiCert Global Root CA,A8:98:5D:3A:65:E5:E5:C4:B2:D7:D6:6D:40:C6:DD:2F:B1:9C:54:36,2006 Nov 10,2031 Nov 10,2048,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=364568,NSS 3.11.8,Firefox 2,https://global-root.digicert.com/testroot/,,http://www.digicert.com/,http://www.digicert.com/ssl-cps-repository.htm,http://www.digicert.com/ssl-cps-repository.htm,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,,KPMG,WebTrust,2014.07.16,
DigiCert,DigiCert Inc,www.digicert.com,DigiCert Global Root G2,DF:3C:24:F9:BF:D6:66:76:1B:26:80:73:FE:06:D1:CC:8D:4F:82:A4,2013 Aug 01,2038 Jan 15,2048,SHA-256,Code; Email; Websites,2.16.840.1.114412.2.1,https://bugzilla.mozilla.org/show_bug.cgi?id=908827,NSS 3.16.3,Firefox 32,https://global-root-g2.digicert.com/,,http://www.digicert.com/,http://www.digicert.com/ssl-cps-repository.htm,http://www.digicert.com/ssl-cps-repository.htm,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,KPMG,WebTrust,2014.07.16,
DigiCert,DigiCert Inc,www.digicert.com,DigiCert Global Root G3,7E:04:DE:89:6A:3E:66:6D:00:E6:87:D3:3F:FA:D9:3B:E8:3D:34:9E,2013 Aug 01,2038 Jan 15,ECC,ECC,Code; Email; Websites,2.16.840.1.114412.2.1,https://bugzilla.mozilla.org/show_bug.cgi?id=908827,NSS 3.16.3,Firefox 32,https://global-root-g3.digicert.com/,,http://www.digicert.com/,http://www.digicert.com/ssl-cps-repository.htm,http://www.digicert.com/ssl-cps-repository.htm,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,KPMG,WebTrust,2014.07.16,
DigiCert,DigiCert Inc,www.digicert.com,DigiCert High Assurance EV Root CA,5F:B7:EE:06:33:E2:59:DB:AD:0C:4C:9A:E6:D3:8F:1A:61:C7:DC:25,2006 Nov 10,2031 Nov 10,2048,SHA-1,Code; Email; Websites,2.16.840.1.114412.2.1,https://bugzilla.mozilla.org/show_bug.cgi?id=364568,NSS 3.11.8,Firefox 2,https://ev-root.digicert.com/testroot/,,http://www.digicert.com/,http://www.digicert.com/ssl-cps-repository.htm,http://www.digicert.com/ssl-cps-repository.htm,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,KPMG,WebTrust,2014.07.16,
DigiCert,DigiCert Inc,www.digicert.com,DigiCert Trusted Root G4,DD:FB:16:CD:49:31:C9:73:A2:03:7D:3F:C8:3A:4D:7D:77:5D:05:E4,2013 Aug 01,2038 Jan 15,4096,SHA-384,Code; Email; Websites,2.16.840.1.114412.2.1,https://bugzilla.mozilla.org/show_bug.cgi?id=908827,NSS 3.16.3,Firefox 32,https://trusted-root-g4.digicert.com/,,http://www.digicert.com/,http://www.digicert.com/ssl-cps-repository.htm,http://www.digicert.com/ssl-cps-repository.htm,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,https://cert.webtrust.org/SealFile?seal=1710&file=pdf,KPMG,WebTrust,2014.07.16,
IdenTrust,Digital Signature Trust,DST ACES,DST ACES CA X6,40:54:DA:6F:1C:3F:40:74:AC:ED:0F:EC:CD:DB:79:D1:53:FB:90:1D,2003 Nov 20,2017 Nov 20,2048,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=359069,NSS 3.11.9,Firefox 2,https://sslacesvalid.identrust.com,,http://www.identrust.com/,https://secure.identrust.com/certificates/policy/aces/index.html,https://secure.identrust.com/certificates/policy/aces/index.html,https://cert.webtrust.org/SealFile?seal=1720&file=pdf,https://secure.identrust.com/certificates/policy/ts/current-baseline-requirements-audit.pdf,,BrightLine,WebTrust,2014.07.25,
IdenTrust,Digital Signature Trust Co.,DSTCA E1,Digital Signature Trust Co. Global CA 1,81:96:8B:3A:EF:1C:DC:70:F5:FA:32:69:C2:92:A3:63:5B:D1:23:D3,1998 Dec 10,2018 Dec 10,1024,SHA-1,Email,Not EV,legacy,,Firefox 1,,,http://www.identrust.com/,https://secure.identrust.com/certificates/policy/ts/,https://secure.identrust.com/certificates/policy/ts/,https://cert.webtrust.org/SealFile?seal=1720&file=pdf,,,BrightLine,WebTrust,2014.07.25,
IdenTrust,Digital Signature Trust Co.,DSTCA E2,Digital Signature Trust Co. Global CA 3,AB:48:F3:33:DB:04:AB:B9:C0:72:DA:5B:0C:C1:D0:57:F0:36:9B:46,1998 Dec 09,2018 Dec 09,1024,SHA-1,Email,Not EV,legacy,,Firefox 1,,,http://www.identrust.com/,https://secure.identrust.com/certificates/policy/ts/,https://secure.identrust.com/certificates/policy/ts/,https://cert.webtrust.org/SealFile?seal=1720&file=pdf,,,BrightLine,WebTrust,2014.07.25,
IdenTrust,Digital Signature Trust Co.,,DST Root CA X3,DA:C9:02:4F:54:D8:F6:DF:94:93:5F:B1:73:26:38:CA:6A:D7:7C:13,2000 Sep 30,2021 Sep 30,2048,SHA-1,Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=359069,NSS 3.11.9,Firefox 2,https://www.identrustssl.com,,http://www.identrust.com/,https://secure.identrust.com/certificates/policy/ts/,https://secure.identrust.com/certificates/policy/ts/,https://cert.webtrust.org/SealFile?seal=1720&file=pdf,https://secure.identrust.com/certificates/policy/ts/current-baseline-requirements-audit.pdf,,BrightLine,WebTrust,2014.07.25,
CA Disig a.s.,Disig a.s.,,CA Disig,2A:C8:D5:8B:57:CE:BF:2F:49:AF:F2:FC:76:8F:51:14:62:90:7A:41,2006 Mar 22,2016 Mar 22,2048,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=455878,NSS 3.12.6,Firefox 3.6.2,https://testssl-valid.disig.sk/index.en.html,,http://www.disig.eu/,http://www.disig.eu/index.php?id=docs&L=1,http://www.disig.eu/index.php?id=docs&L=1,http://www.disig.eu/_pdf/Audit2014_report.pdf,http://www.disig.eu/_pdf/Audit2014_report.pdf,,QSCert,ETSI TS 102 042,2014.10.29,
CA Disig a.s.,Disig a.s.,,CA Disig Root R1,8E:1C:74:F8:A6:20:B9:E5:8A:F4:61:FA:EC:2B:47:56:51:1A:52:C6,2012 Jul 19,2042 Jul 19,4096,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=792377,NSS 3.15,Firefox 23,https://testssl-valid-r1i1.disig.sk/,,http://www.disig.eu/,http://www.disig.eu/index.php?id=docs&L=1,http://www.disig.eu/index.php?id=docs&L=1,http://www.disig.eu/_pdf/Audit2014_report.pdf,http://www.disig.eu/_pdf/Audit2014_report.pdf,,QSCert,ETSI TS 102 042,2014.10.29,
CA Disig a.s.,Disig a.s.,,CA Disig Root R2,B5:61:EB:EA:A4:DE:E4:25:4B:69:1A:98:A5:57:47:C2:34:C7:D9:71,2012 Jul 19,2042 Jul 19,4096,SHA-256,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=792377,NSS 3.15,Firefox 23,https://testssl-valid-r2i1.disig.sk/,,http://www.disig.eu/,http://www.disig.eu/index.php?id=docs&L=1,http://www.disig.eu/index.php?id=docs&L=1,http://www.disig.eu/_pdf/Audit2014_report.pdf,http://www.disig.eu/_pdf/Audit2014_report.pdf,,QSCert,ETSI TS 102 042,2014.10.29,
e-tugra,E-Tuğra EBG Bilişim Teknolojileri ve Hizmetleri A.Ş.,E-Tugra Sertifikasyon Merkezi,E-Tugra Certification Authority,51:C6:E7:08:49:06:6E:F3:92:D4:5C:A0:0D:6D:A3:62:8F:C3:52:39,2013 Mar 05,2023 Mar 03,4096,SHA-256,Code; Websites,2.16.792.3.0.4.1.1.4,https://bugzilla.mozilla.org/show_bug.cgi?id=877744,NSS 3.16,Firefox 29,https://sslev.e-tugra.com.tr,,http://www.etugra.com.tr/,http://www.e-tugra.com.tr/CPS,http://www.e-tugra.com.tr/Portals/3/engdoc/E-Tugra_SUE_v3.1_0_EN.pdf,https://bugzilla.mozilla.org/attachment.cgi?id=784393,https://bugzilla.mozilla.org/attachment.cgi?id=784393,https://bugzilla.mozilla.org/attachment.cgi?id=784393,BSI,ETSI TS 102 042,2014.07.30,
e-tugra,EBG Bilişim Teknolojileri ve Hizmetleri A.Ş.,,EBG Elektronik Sertifika Hizmet Sağlayıcısı,8C:96:BA:EB:DD:2B:07:07:48:EE:30:32:66:A0:F3:98:6E:7C:AE:58,2006 Aug 17,2016 Aug 14,4096,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=443653,NSS 3.12.5,Firefox 3.6,https://ediskim.e-tugra.com.tr/,,http://www.etugra.com.tr/,http://www.e-tugra.com.tr/cps,http://www.e-tugra.com.tr/cps,https://bugzilla.mozilla.org/attachment.cgi?id=784393,https://bugzilla.mozilla.org/attachment.cgi?id=784393,,BSI,ETSI TS 102 042,2014.07.30,
EDICOM,EDICOM,PKI,ACEDICOM Root,E0:B4:32:2E:B2:F6:A5:68:B6:54:53:84:48:18:4A:50:36:87:43:84,2008 Apr 18,2028 Apr 13,4096,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=471045,NSS 3.12.7,Firefox 3.6.7,https://support.edicomgroup.com/,,http://acedicom.edicomgroup.com/en/index.htm,http://acedicom.edicomgroup.com/es/contenidos/practicasyPoliticas/punto1.htm,http://acedicom.edicomgroup.com/en/archivos/politicas/ACEDICOM_CertificationPractice.pdf,https://cert.webtrust.org/SealFile?seal=1765&file=pdf,https://cert.webtrust.org/SealFile?seal=1765&file=pdf,,DNB,WebTrust,2014.10.13,
Entrust,"Entrust, Inc.","(c) 2006 Entrust, Inc.",Entrust Root Certification Authority,B3:1E:B1:B7:40:E3:6C:84:02:DA:DC:37:D4:4D:F5:D4:67:49:52:F9,2006 Nov 27,2026 Nov 27,2048,SHA-1,Websites,2.16.840.1.114028.10.1.2,https://bugzilla.mozilla.org/show_bug.cgi?id=382352,NSS 3.11.10,Firefox 3.0.2,https://validev.entrust.net,,http://www.entrust.net/,http://www.entrust.net/CPS,http://www.entrust.net/CPS,https://cert.webtrust.org/SealFile?seal=328&file=pdf,https://cert.webtrust.org/SealFile?seal=328&file=pdf,https://cert.webtrust.org/SealFile?seal=328&file=pdf,Deloitte & Touche,WebTrust,2014.04.21,
Entrust,"Entrust, Inc.","(c) 2012 Entrust, Inc. - for authorized use only",Entrust Root Certification Authority - EC1,20:D8:06:40:DF:9B:25:F5:12:25:3A:11:EA:F7:59:8A:EB:14:B5:47,2012 Dec 18,2037 Dec 18,ECC P-384,ECC,Code; Email; Websites,2.16.840.1.114028.10.1.2,https://bugzilla.mozilla.org/show_bug.cgi?id=849950,NSS 3.18,Firefox 38,https://validec.entrust.net,None,http://www.entrust.net/,http://www.entrust.net/CPS,http://www.entrust.net/CPS,https://entrust.webtrust.org/SealFile?seal=328&file=pdf,https://entrust.webtrust.org/SealFile?seal=328&file=pdf,https://entrust.webtrust.org/SealFile?seal=328&file=pdf,Deloitte LLP,WebTrust,2014.04.21,
Entrust,"Entrust, Inc.","(c) 2009 Entrust, Inc.-for authorized use only",Entrust Root Certification Authority - G2,8C:F4:27:FD:79:0C:3A:D1:66:06:8D:E8:1E:57:EF:BB:93:22:72:D4,2009 Jul 07,2030 Dec 07,2048,SHA-256,Code; Email; Websites,2.16.840.1.114028.10.1.2,https://bugzilla.mozilla.org/show_bug.cgi?id=849950,NSS 3.18,Firefox 38,https://validg2.entrust.net/,None,http://www.entrust.net/,http://www.entrust.net/CPS,http://www.entrust.net/CPS,https://entrust.webtrust.org/SealFile?seal=328&file=pdf,https://entrust.webtrust.org/SealFile?seal=328&file=pdf,https://entrust.webtrust.org/SealFile?seal=328&file=pdf,Deloitte LLP,WebTrust,2014.04.21,
Entrust,Entrust.net,OU = (c) 1999 Entrust.net Limited OU = www.entrust.net/CPS_2048 incorp. by ref. (limits liab.),Entrust.net Certification Authority (2048),50:30:06:09:1D:97:D4:F5:AE:39:F7:CB:E7:92:7D:7D:65:2D:34:31,1999 Dec 24,2029 Jul 24,2048,SHA-1,Code; Email; Websites,2.16.840.1.114028.10.1.2,https://bugzilla.mozilla.org/show_bug.cgi?id=694536,NSS 3.15,Firefox 23,https://2048test.entrust.net,None,http://www.entrust.net/,http://www.entrust.net/CPS,http://www.entrust.net/CPS,https://entrust.webtrust.org/SealFile?seal=328&file=pdf,https://entrust.webtrust.org/SealFile?seal=328&file=pdf,https://entrust.webtrust.org/SealFile?seal=328&file=pdf,Deloitte,WebTrust,2014.04.21,
Symantec / GeoTrust,Equifax,Equifax Secure Certificate Authority,Equifax Secure CA,D2:32:09:AD:23:D3:14:23:21:74:E4:0D:7F:9D:62:13:97:86:63:3A,1998 Aug 22,2018 Aug 22,1024,SHA-1,Code; Email; Websites,Not EV,legacy,,Firefox 1,,,http://www.geotrust.com/,http://www.geotrust.com/resources/repository/legal,http://www.geotrust.com/resources/repository/legal,https://cert.webtrust.org/SealFile?seal=1567&file=pdf,,,KPMG,WebTrust,2014.06.18,Migrating customers away from this 1024-bit root. https://bugzilla.mozilla.org/show_bug.cgi?id=936105#c2
Symantec / GeoTrust,Equifax Secure Inc.,,Equifax Secure eBusiness CA-1,DA:40:18:8B:91:89:A3:ED:EE:AE:DA:97:FE:2F:9D:F5:B7:D1:8A:41,1999 Jun 21,2020 Jun 21,1024,MD5,Email,Not EV,legacy,,Firefox 1,https://ssltest17.bbtest.net/,,http://www.geotrust.com/,http://www.geotrust.com/resources/repository/legal,http://www.geotrust.com/resources/repository/legal,https://cert.webtrust.org/SealFile?seal=1567&file=pdf,http://www.symantec.com/content/en/us/about/media/repository/symantec-webtrust-audit-report.pdf,,KPMG,WebTrust,2014.06.18,"Websites and Code Signing trust bits turned off in NSS 3.17.3, Firefox 36."
Symantec / GeoTrust,Equifax Secure Inc.,,Equifax Secure Global eBusiness CA-1,7E:78:4A:10:1C:82:65:CC:2D:E1:F1:6D:47:B4:40:CA:D9:0A:19:45,1999 Jun 21,2020 Jun 21,1024,MD5,Email,Not EV,legacy,,Firefox 1,Websites trust bit turned off in FF38,,http://www.geotrust.com/,http://www.geotrust.com/resources/repository/legal,http://www.geotrust.com/resources/repository/legal,https://cert.webtrust.org/SealFile?seal=1567&file=pdf,,,KPMG,WebTrust,2014.06.18,Migrating customers away from this 1024-bit root. https://bugzilla.mozilla.org/show_bug.cgi?id=936105#c2
"Government of Spain, Autoritat de Certificació de la Comunitat Valenciana (ACCV)",Generalitat Valenciana,PKIGVA,Root CA Generalitat Valenciana,A0:73:E5:C5:BD:43:61:0D:86:4C:21:13:0A:85:58:57:CC:9C:EA:46,2001 Jul 06,2021 Jul 01,2048,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=274100,NSS 3.12.11,Firefox 6.0.2,https://genera.accv.es/apsc/frontal/index.html,,http://www.pki.gva.es/,http://www.accv.es/quienes-somos/practicas-y-politicas-de-certificacion/politicas-de-certificacion/,http://www.accv.es/quienes-somos/practicas-y-politicas-de-certificacion/,https://cert.webtrust.org/SealFile?seal=1715&file=pdf,https://cert.webtrust.org/SealFile?seal=1715&file=pdf,,DNB,WebTrust,2014.07.21,
